Row Labels,Sum of Population,Count of Name,,,,,,,,,,,
MAR," 8,757,562.00 ", 22.00 ,,CountryCode,Continent, Total_population_per_countryCode , Total_city_perCountry_Code ,Ave_Total_per_city_per_country_code,Column1,Row Labels,Count of Regions,,
PRT," 1,145,011.00 ", 5.00 ,,GLP,North America," 75,380.00 ", 2.00 ,37690,,,,,
PRY," 1,020,020.00 ", 5.00 ,,GRD,North America," 4,621.00 ", 1.00 ,4621,,,,,
PSE," 902,360.00 ", 6.00 ,,GRL,North America," 13,445.00 ", 1.00 ,13445,,,,,
PYF," 51,441.00 ", 2.00 ,,GTM,North America," 1,225,188.00 ", 4.00 ,306297,,,,,
QAT," 355,000.00 ", 1.00 ,,HND,North America," 1,287,000.00 ", 3.00 ,429000,,,,,
REU," 131,480.00 ", 1.00 ,,HTI,North America," 1,517,338.00 ", 4.00 ,379334.5,,,,,
ROM," 7,469,006.00 ", 29.00 ,,JAM,North America," 314,140.00 ", 3.00 ,104713.3333,,,,,
RUS," 69,150,700.00 ", 189.00 ,,KNA,North America," 11,600.00 ", 1.00 ,11600,,,,,
RWA," 286,000.00 ", 1.00 ,,LCA,North America," 2,301.00 ", 1.00 ,2301,,,,,
SAU," 10,636,700.00 ", 24.00 ,,MEX,North America," 59,752,521.00 ", 173.00 ,345390.2948,,,,,
SDN," 4,752,187.00 ", 12.00 ,,MSR,North America," 2,000.00 ", 1.00 ,2000,,,,,
SEN," 2,770,458.00 ", 9.00 ,,MTQ,North America," 94,050.00 ", 1.00 ,94050,,,,,
SGP," 4,017,733.00 ", 1.00 ,,NIC,North America," 1,269,223.00 ", 4.00 ,317305.75,,,,,
SHN," 1,500.00 ", 1.00 ,,PAN,North America," 786,755.00 ", 2.00 ,393377.5,,,,,
SJM," 1,438.00 ", 1.00 ,,PRI,North America," 1,564,174.00 ", 9.00 ,173797.1111,,,,,
SLB," 50,100.00 ", 1.00 ,,SLV,North America," 1,138,231.00 ", 7.00 ,162604.4286,,,,,
SLE," 850,000.00 ", 1.00 ,,SPM,North America," 5,808.00 ", 1.00 ,5808,,,,,
SLV," 1,138,231.00 ", 7.00 ,,TCA,North America," 4,800.00 ", 1.00 ,4800,,,,,
